"trap.name","rev.lat","rev.lng","lat.lng.src","satellite.ind","ZCTA5CE10","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","GEOID","community"
"T900","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T901","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T902","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T903","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T904","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T905","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T906","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T907","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T908","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T909","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T910","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T911","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T912","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T913","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T914","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T915","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T916","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T917","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T918","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T920","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T921","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T923","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T924","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
"T925","41.9738886","-87.8907904","Google",FALSE,60018,17,31,980000,1,170319800001,"OHARE"
