"FID_wnv_tr","trap_name","rev_lat","rev_lng","nrows","latlng_cnt","wnv_presen","wnv_pres_1","Field8","wnv_absent","Field10","Field11","Field12","Field13","Field14","Field15","sd_Mosquit","FID_tl_201","ZCTA5CE10","GEOID10","CLASSFP10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
173,"T903",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
174,"T904",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
175,"T905",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
176,"T906",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
177,"T907",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
178,"T908",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
179,"T909",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
180,"T910",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
181,"T911",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
182,"T912",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
183,"T913",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
184,"T914",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
185,"T915",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
186,"T916",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
